country,date,Inflation,Unemployment Rate,GDP (USD),Interest Rate
Sub-Saharan Africa,2021,4.61167217803206,6.9876633959167,1935057601074.18,
Sub-Saharan Africa,2020,3.48393567493209,6.803309525677,1723193433652.91,
Sub-Saharan Africa,2019,2.83514555687503,6.2679212107601,1836204944040.04,
Sub-Saharan Africa,2018,4.09297819300634,6.10632797505626,1782800988574.01,
Sub-Saharan Africa (excluding high income),2023,7.05298238454743,5.88775361694401,2042436971778.64,
Sub-Saharan Africa (excluding high income),2022,9.45955253039717,6.19801853183662,2073339118621.98,
Sub-Saharan Africa (excluding high income),2021,4.43551817673037,6.9876633959167,1933570427279.37,
Sub-Saharan Africa (excluding high income),2020,3.84286439841883,6.803309525677,1721810881901.34,
Sub-Saharan Africa (excluding high income),2019,2.867588034469,6.2679212107601,1834336253943.3,
Sub-Saharan Africa (excluding high income),2018,4.27462198610545,6.10632797505626,1781016674647.24,
Sub-Saharan Africa (IDA & IBRD countries),2023,6.69759990789848,5.88775361694401,2044578421949.78,
Sub-Saharan Africa (IDA & IBRD countries),2022,9.39383877456591,6.19801853183662,2075397087141.81,
Sub-Saharan Africa (IDA & IBRD countries),2021,4.61167217803206,6.9876633959167,1935057601074.18,
Sub-Saharan Africa (IDA & IBRD countries),2020,3.48393567493209,6.803309525677,1723193433652.91,
Sub-Saharan Africa (IDA & IBRD countries),2019,2.83514555687503,6.2679212107601,1836204944040.04,
Sub-Saharan Africa (IDA & IBRD countries),2018,4.09297819300634,6.10632797505626,1782800988574.01,
Upper middle income,2023,4.94432438791283,5.67666999727191,29440021018933.5,
Upper middle income,2022,8.64091108973855,6.05837753228876,28547068404946.9,
Upper middle income,2021,4.02852888157376,6.43315019951925,27390623700501.0,
Upper middle income,2020,1.8903591682421,6.81216964139814,22976120181600.3,
Upper middle income,2019,2.0239072819035,6.11106892294072,23748825752032.2,
Upper middle income,2018,2.83014934367371,5.97611834945761,23375867162686.5,
World,2023,5.63566880551913,4.91657221632923,106171667873321.0,
World,2022,7.93092925430087,5.26071088886287,101770911729948.0,
World,2021,3.4754032028988,6.06444597897447,97848299706454.8,
World,2020,1.9056635869553,6.60880501698705,85763013427792.9,
World,2019,2.21677593359912,5.59893079520961,88149850742945.9,
World,2018,2.43873655522937,5.76898308254956,86884839554431.6,
Afghanistan,2023,,13.991,17233051620.1117,
Afghanistan,2022,,14.1,14497243872.1337,
Afghanistan,2021,,11.994,14259995441.0759,
Afghanistan,2020,,11.71,19955929052.1496,
Afghanistan,2019,2.30237251516819,11.185,18799444490.1128,
Afghanistan,2018,0.626149149168983,11.196,18053222687.4126,
Albania,2023,4.75976421930107,10.108,23547179830.4413,0.269282388635442
Albania,2022,6.72520271530048,10.137,19017242585.7803,-3.05375879949315
Albania,2021,2.04147163139549,11.474,18032010563.7558,2.49145230404806
Albania,2020,1.62088661717011,11.69,15241458744.8688,6.0772727041326
Albania,2019,1.41109078954246,11.466,15585105131.0644,5.2229818174808
Albania,2018,2.02805963071136,12.304,15379509891.7196,2.88052489157228
Algeria,2023,9.32217375928322,11.701,247626161016.414,7.08459692081617
Algeria,2022,9.26551551551553,12.346,225638456572.143,-12.1603164451211
Algeria,2021,7.22606307415477,13.63,186231205262.082,-6.84242362997388
Algeria,2020,2.41513094083414,14.057,164873415325.201,13.3398767225762
Algeria,2019,1.95176821052892,12.259,193459662090.677,7.05471454843042
