ticker,abbreviated name
sh600421,华嵘控股
sh600428,中远海特
sh600438,通威股份
sh600486,扬农化工
sh600522,中天科技
sh600502,安徽建工
sh600506,香梨股份
sh600363,联创光电
sh600468,百利电气
sh600490,鹏欣资源
sh600277,亿利洁能
sh600330,天通股份
sh600328,中盐化工
sh600313,农发种业
sh600311,*ST荣华
sh600278,东方创业
sh600250,南纺股份
sh600241,ST时万
sh600236,桂冠电力
sh600218,全柴动力
sh600216,浙江医药
sh600183,生益科技
sh600538,国发股份
sh600180,瑞茂通
sh600350,山东高速
sh600540,新赛股份
sh600781,ST辅仁
sh600576,祥源文化
sh600172,黄河旋风
sh600970,中材国际
sh600961,株冶集团
sh600900,长江电力
sh600897,厦门空港
sh600888,新疆众和
sh600883,博闻科技
sh600877,声光电科
sh600859,王府井
sh600841,动力新科
sh600833,第一医药
sh600814,杭州解百
sh600808,马钢股份
sh600804,ST鹏博士
sh600771,广誉远
sh600766,*ST园城
sh600744,华银电力
sh600726,*ST华源
sh600713,南京医药
sh600712,南宁百货
sh600676,交运股份
sh600674,川投能源
sh600673,东阳光
sh600665,天地源
sh600649,城投控股
sh600602,云赛智联
sh600592,龙溪股份
sh600986,浙文互联
sh600585,海螺水泥
sh600551,时代出版
sh600170,上海建工
sz000793,华闻集团
sh600161,天坛生物
sz000785,居然之家
sz000753,漳州发展
sz000726,鲁 泰Ａ
sz000702,正虹科技
sz000698,沈阳化工
sz000678,襄阳轴承
sz000666,经纬纺机
sz000657,中钨高新
sz000651,格力电器
sz000627,天茂集团
sz000593,德龙汇能
sz000570,苏常柴Ａ
sz000550,江铃汽车
sz000829,天音控股
sz000547,航天发展
sz000503,国新健康
sz000425,徐工机械
sz000421,南京公用
sz000411,英特集团
sz000099,中信海直
sz000088,盐 田 港
sz000063,中兴通讯
sz000045,深纺织Ａ
sz000039,中集集团
sz000014,沙河股份
sz000001,平安银行
sh600992,贵绳股份
sh600641,万业企业
sz000507,珠海港
sz000835,长动退
sz000878,云南铜业
sz000893,亚钾国际
sh600152,维科技术
sh600151,航天机电
sh600128,弘业股份
sh600122,ST宏图
sh600115,中国东航
sh600105,永鼎股份
sh600085,同仁堂
sh600077,宋都股份
sh600072,中船科技
sh600070,浙江富润
sh600058,五矿发展
sh600053,九鼎投资
sh600031,三一重工
sh600027,华电国际
sh600011,华能国际
sh600010,包钢股份
sz002049,紫光国微
sz002046,国机精工
sz002034,旺能环境
sz002017,东信和平
sz002004,华邦健康
sz001872,招商港口
sz000995,*ST皇台
sz000976,华铁股份
sz000966,长源电力
sz000963,华东医药
sz000960,锡业股份
sz000911,南宁糖业
sz000895,双汇发展
sh600168,武汉控股
sh600615,*ST丰华
sh600621,华鑫股份
sz002027,分众传媒
sh600679,上海凤凰
sh600657,信达地产
sh600655,豫园股份
sh600652,*ST游久
sh600620,天宸股份
sh600617,国新能源
sh600579,克劳斯
sh600566,济川药业
sh600562,国睿科技
sh600547,山东黄金
sh600528,中铁工业
sh600525,长园集团
sh600520,文一科技
sh600510,黑牡丹
sh600508,上海能源
sh600482,中国动力
sh600462,ST九有
sh600460,士兰微
sh600455,博通股份
sh600449,宁夏建材
sh600446,金证股份
sh600405,动力源
sh600381,青海春天
sh600688,上海石化
sh600690,海尔智家
sh600727,鲁北化工
sh600737,中粮糖业
sz002011,盾安环境
sz002030,达安基因
sz002023,海特高新
sh600985,淮北矿业
sh600884,杉杉股份
sh600881,亚泰集团
sh600865,百大集团
sh600860,京城股份
sh600857,宁波中百
sh600853,龙建股份
sh600826,兰生股份
sh600376,首开股份
sh600824,益民集团
sh600815,厦工股份
sh600802,福建水泥
sh600801,华新水泥
sh600797,浙大网新
sh600775,南京熊猫
sh600760,中航沈飞
sh600758,辽宁能源
sh600745,闻泰科技
sh600742,一汽富维
sh600741,华域汽车
sh600740,山西焦化
sh600819,耀皮玻璃
sh600370,三房巷
sh600807,济南高新
sh600351,亚宝药业
sz000530,冰山冷热
sz000521,长虹美菱
sz000416,民生控股
sz000157,中联重科
sz000153,丰原药业
sz000046,泛海控股
sz000036,华联控股
sz000034,神州数码
sz000016,深康佳Ａ
sh600112,*ST天成
sh600109,国金证券
sz000543,皖能电力
sh600104,上汽集团
sh600081,东风科技
sh600080,金花股份
sh600078,*ST澄星
sh600056,中国医药
sh600036,招商银行
sh600033,福建高速
sh600030,中信证券
sh600016,民生银行
sh600008,首创环保
sz002032,苏 泊 尔
sh600354,敦煌种业
sh600091,*ST明科
sz000551,创元科技
sh600067,冠城大通
sz000599,青岛双星
sh600337,美克家居
sz000558,莱茵体育
sh600319,亚星化学
sh600308,华泰股份
sh600307,酒钢宏兴
sh600303,ST曙光
sh600293,三峡新材
sh600292,远达环保
sh600288,大恒科技
sh600284,浦东建设
sh600283,钱江水利
sh600235,民丰特纸
sh600299,安迪苏
sh600176,中国巨石
sh600230,沧州大化
sz000738,航发控制
sz000908,景峰医药
sz000965,天保基建
sh600146,*ST环球
sz002006,精功科技
sh600150,中国船舶
sh600162,香江控股
sh600167,联美控股
sh600149,廊坊发展
sz000757,浩物股份
sh600577,精达股份
sh600600,青岛啤酒
sh600571,信雅达
sh600582,天地科技
sh600569,安阳钢铁
sh600586,金晶科技
sh600587,新华医疗
sh600629,华建集团
sh600609,金杯汽车
sh600616,金枫酒业
sh600622,光大嘉宝
sh600635,大众公用
sh600638,新黄浦
sh600556,天下秀
sh600639,浦东金桥
sh600654,*ST中安
sh600605,汇通能源
sh600552,凯盛科技
sh600410,华胜天成
sh600526,菲达环保
sh600332,白云山
sh600667,太极实业
sh600359,新农开发
sh600369,西南证券
sh600378,昊华科技
sh600383,金地集团
sh600385,*ST金泰
sh600387,ST海越
sh600415,小商品城
sh600429,三元股份
sh600466,蓝光发展
sh600483,福能股份
sh600488,XD天药股
sh600491,龙元建设
sh600509,天富能源
sh600515,*ST基础
sh600518,*ST康美
sh600548,深高速
sh600696,岩石股份
sh600847,万里股份
sh600704,物产中大
sh600837,海通证券
sh600839,四川长虹
sh600843,上工申贝
sh600851,海欣股份
sh600855,航天长峰
sh600863,内蒙华电
sh600871,石化油服
sh600836,上海易连
sh600874,创业环保
sh600879,航天电子
sh600893,航发动力
sh600894,广日股份
sh600962,国投中鲁
sh600969,郴电国际
sh600980,北矿科技
sh600329,中新药业
sh600876,洛阳玻璃
sh600827,百联股份
sh600820,隧道股份
sh600803,新奥股份
sh600711,盛屯矿业
sh600716,凤凰股份
sh600718,东软集团
sh600731,湖南海利
sh600733,北汽蓝谷
sh600748,上实发展
sh600754,锦江酒店
sh600755,厦门国贸
sh600756,浪潮软件
sh600757,长江传媒
sh600761,安徽合力
